Genus	Clade
Chromera	Alveolata
Tiarina	Alveolata
Amoebophrya	Alveolata
Dinophysis	Alveolata
Glenodinium	Alveolata
Karenia	Alveolata
Kareniaceae	Alveolata
Pelagodinium	Alveolata
Prorocentrum	Alveolata
Scrippsiella	Alveolata
Cyanophora	Glaucophyta
Cyanoptyche	Glaucophyta
Glaucocystis	Glaucophyta
Gloeochaete	Glaucophyta
Chaetopeltis	Viridiplantae
Chlamydomonas	Viridiplantae
Chlorella	Viridiplantae
Chloropicon	Viridiplantae
Desmochloris	Viridiplantae
Dolichomastix	Viridiplantae
Eremosphaera	Viridiplantae
Halochlorococcum	Viridiplantae
Halofilum	Viridiplantae
Micractinium	Viridiplantae
Neochloris	Viridiplantae
Ochlochaete	Viridiplantae
Planophila	Viridiplantae
Pseudophyllomitus	Stramenopiles
Proboscia	Stramenopiles
Eutreptiella	Euglenozoa
Calcidiscus	Haptophyta
Chrysochromulina	Haptophyta
Chrysotila	Haptophyta
Coccolithus	Haptophyta
Emiliania	Haptophyta
Gephyrocapsa	Haptophyta
Phaeocystis	Haptophyta
Pleurochrysis	Haptophyta
Cercozoa	Rhizaria
Ammonia	Rhizaria
Elphidium	Rhizaria
Rosalina	Rhizaria
Sorites	Rhizaria
Aplanochytrium	Stramenopiles
Aurantiochytrium	Stramenopiles
Labyrinthulea	Stramenopiles
Schizochytrium	Stramenopiles
Thraustochytrium	Stramenopiles
Amphora	Stramenopiles
Asterionellopsis	Stramenopiles
Attheya	Stramenopiles
Chaetoceros	Stramenopiles
Chattonella	Stramenopiles
Entomoneis	Stramenopiles
Grammatophora	Stramenopiles
Leptocylindrus	Stramenopiles
Pelagomonas	Stramenopiles
Phaeodactylum	Stramenopiles
Pinguiococcus	Stramenopiles
Staurosira	Stramenopiles
Synchroma	Stramenopiles
Acanthamoeba	Amoebozoa
Pessonella	Amoebozoa
Trichosphaerium	Amoebozoa
Vannella	Amoebozoa
Vexillifera	Amoebozoa
Choanoeca	Choanoflagellata
Diaphanoeca	Choanoflagellata
Helgoeca	Choanoflagellata
Microstomoeca	Choanoflagellata
Salpingoeca	Choanoflagellata
Savillea	Choanoflagellata
